R8,2019,129000,Semi-Auto,4000,Petrol,145,21.4,5.2
R8,2013,47995,Manual,19834,Petrol,570,19.6,4.2
R8,2020,137995,Semi-Auto,70,Petrol,145,21.1,5.2
R8,2019,125000,Automatic,100,Petrol,145,24.1,5.2
R8,2019,135000,Automatic,1000,Petrol,145,32.8,5.2
R8,2019,112990,Automatic,8175,Petrol,145,21.6,5.2
R8,2019,137500,Semi-Auto,10,Petrol,150,21.4,5.2
R8,2018,93950,Semi-Auto,3800,Petrol,145,23,5.2
R8,2019,117990,Automatic,11936,Petrol,145,21.4,5.2
R8,2020,145000,Semi-Auto,2000,Petrol,145,21.1,5.2
R8,2019,125000,Semi-Auto,500,Petrol,145,21.4,5.2
R8,2019,109990,Automatic,6954,Petrol,145,21.6,5.2
R8,2014,51990,Semi-Auto,19800,Petrol,570,22.8,4.2
R8,2013,54850,Semi-Auto,10800,Petrol,570,22.4,4.2
R8,2018,94990,Automatic,3562,Petrol,145,23,5.2
R8,2020,133900,Semi-Auto,333,Petrol,145,21.4,5.2
R8,2019,116000,Automatic,2369,Petrol,145,22.6,5.2
R8,2016,79900,Semi-Auto,10172,Petrol,570,24.8,5.2
R8,2019,119450,Automatic,3000,Petrol,145,21.4,5.2
R8,2019,119995,Semi-Auto,7800,Petrol,145,21.4,5.2
R8,2014,59990,Automatic,31930,Petrol,580,21.9,5.2
R8,2014,58450,Automatic,35000,Petrol,570,21.9,5.2
R8,2018,95950,Automatic,5044,Petrol,150,23,5.2
R8,2008,33950,Automatic,52500,Petrol,580,21,4.2
R8,2015,54945,Automatic,23924,Petrol,570,22.8,4.2
R8,2016,74500,Automatic,28888,Petrol,570,24.1,5.2
R8,2019,125000,Automatic,13663,Petrol,150,21.4,5.2
R8,2007,42992,Automatic,39000,Petrol,515,21,4.2
